Word,Length,Age_Of_Acquisition,LDT
airship,7,10.8,663.516
airsick,7,11.47,780.5519999999999
airspace,8,11.5,684.3639999999999
airspeed,8,10.9,810
airstrip,8,8.16,954.069
airstrips,9,8.16,900.968
airtight,8,9.84,834.333
airway,6,11.16,640.829
airways,7,11.16,731.375
airy,4,10.28,727.792
aisle,5,5.95,709.618
ajar,4,9.67,720.1030000000001
akin,4,12.67,853.474
alabaster,9,13.67,805.9519999999999
alarm,5,6.39,612.176
alarmed,7,6.39,573.375
alarming,8,9.78,724.576
alarmist,8,13.12,794.929
alarms,6,6.39,572.656
alas,4,9.781,733
albacore,8,14.47,894.3569999999999
albatross,9,11.64,818.15
albino,6,9.79,818.792
album,5,6.72,580.5
albumin,7,14.2,708
albums,6,6.72,705
alchemist,9,12,862.6669999999999
alchemy,7,13.35,851.3
alcohol,7,9,668.8439999999999
alcoholic,9,9.95,670.121
alcoholics,10,9.95,867.758
alcoholism,10,11.6,759.118
alcove,6,12.11,807.9469999999999
alcoves,7,12.11,817.353
alderman,8,14.19,939.474
aldermen,8,14.19,892.15
ale,3,10.16,698.6
alehouse,8,13.76,1136.615
alert,5,8.9,582.75
alerted,7,8.9,724.8439999999999
alerting,8,8.9,685.375
alertness,9,9.44,756.219
alerts,6,8.9,678.3119999999999
alfalfa,7,8.83,934.542
alga,4,13.33,873.625
algae,5,13.33,726.8149999999999
algebra,7,11.47,697.387
algebraic,9,11.11,813
algorithm,9,14.56,932.857
alias,5,9.47,813.3549999999999
alibi,5,12.5,731.889
alibis,6,12.5,921.667
alien,5,7.5,565.212
alienate,8,13.05,815.121
alienated,9,13.05,795.3549999999999
alienation,10,13.47,784.0609999999999
aliens,6,8.578,702.939
alight,6,11.41,815.533
align,5,9.85,673.963
aligned,7,9.85,715.3449999999999
aligning,8,9.85,869.724
alignment,9,11.76,697.5619999999999
alignments,10,11.76,785
alike,5,6.115,646.0649999999999
alimony,7,14.47,856.516
alive,5,5.11,603.161
alkali,6,14.35,878.643
alkaline,8,13.68,793.871
all,3,4.24,592.333
allay,5,15.77,745.3569999999999
allegation,10,11.84,762.107
allegations,11,11.84,826.156
allege,6,12.81,795
alleged,7,12.05,712.735
allegiance,10,8.42,789.697
allegiances,11,8.42,873.0319999999999
alleging,8,12.81,799.9309999999999
allegorical,11,12.41,951.333
allegory,8,14.16,734.5559999999999
allegro,7,13.07,708.6669999999999
allergen,8,11.58,868.923
allergic,8,7.72,643.333
allergies,9,8.11,673.031
allergy,7,8.11,739.8569999999999
alleviate,9,11.39,788.484
alleviating,11,11.39,834.963
alley,5,7.26,644.333
alleys,6,7.26,690.71
alleyway,8,8.11,764.2760000000001
alleyways,9,8.11,862.8
alliance,8,11.28,700.935
alliances,9,11.28,720.968
allied,6,10.85,684.875
allies,6,9.61,655.909
alligator,9,4.78,637.97
alliteration,12,13.86,893.889
alliterative,12,15.25,1108.667
allocate,8,13.78,694.0669999999999
allocated,9,13.78,697.1
allocation,10,12.42,781.7330000000001
allocations,11,12.42,844.3439999999999
allot,5,13.67,837.333
allotment,9,13.28,815.619
allotments,10,13.28,923.111
allotted,8,13.67,711.9669999999999
allotting,9,13.67,743.429
allow,5,5.32,591.382
allowable,9,9.56,792.75
allowance,9,6.95,666.727
allowances,10,6.95,666.031
allowed,7,5.32,643.8439999999999
allowing,8,5.32,723.853
allows,6,5.32,637.871
alloy,5,14.53,698.433
