Pcp,Group,Product,ICAR,AQScore,Age,Gender,Residence,Choice
R_cN3QmKgjg0DQpMh,NT,apartment,2,83,68,Male,UK,Consistent
R_cubkcNEfX8bIDSB,NT,apartment,6,69,56,Female,UK,Consistent
R_cx8cbm8pcruFORf,NT,apartment,7,71,57,Male,US,Consistent
R_cYie0QpyFGIh7cF,NT,apartment,4,43,44,Female,US,Consistent
R_d0TuChON1otDv6t,NT,apartment,14,75,58,Male,UK,Consistent
R_d4KyzgeLCjvYFkV,NT,apartment,10,61,32,Female,UK,Inconsistent
R_d9UZpue845gObml,NT,apartment,1,68,20,Female,UK,Consistent
R_dajjDlcoo2LhND7,NT,apartment,11,72,20,Female,UK,Consistent
R_dbSvHrurUospZkx,NT,apartment,10,54,48,Female,US,Consistent
R_dbzl1UJsabvI3Qh,NT,apartment,10,81,28,Female,UK,Consistent
R_dczVdzl8EYDZFUF,NT,apartment,10,69,47,Female,UK,Consistent
R_dd0QhJWPvsylJHf,NT,apartment,7,80,65,Male,UK,Inconsistent
R_dm9hTXlAUq9uur3,NT,apartment,3,58,30,Female,UK,Consistent
R_dnbOk9IwXK5wIqp,NT,apartment,10,79,67,Male,UK,Inconsistent
R_dnJczHCHI07KB1j,NT,apartment,5,79,44,Female,UK,Consistent
R_dp95KE9bGMnKDIx,NT,apartment,8,59,22,Female,US,Consistent
R_e5PwXxr5FmeYiJT,NT,apartment,4,63,43,Female,UK,Inconsistent
R_e8PuFEngmkiqo2V,NT,apartment,15,51,31,Female,UK,Consistent
R_eaLqWmze5TQDraB,NT,apartment,5,65,52,Female,UK,Consistent
R_ebbNuUbbBOCW5hz,NT,apartment,10,81,41,Female,US,Consistent
R_ebMtT9PTT6wGCrj,NT,apartment,8,64,23,Male,UK,Consistent
R_eEh9HXd4DTz906F,NT,apartment,9,69,60,Male,UK,Consistent
R_emoEBELZSbe9zzD,NT,apartment,1,57,67,Female,US,Consistent
R_ePpozXpAGEkpFAh,NT,apartment,5,65,71,Female,UK,Consistent
R_er1htDpRHsHOD7T,NT,apartment,3,72,22,Female,UK,Inconsistent
R_eRGhcArx0xgPm5f,NT,apartment,1,68,42,Male,UK,Consistent
R_esLOTKBshRks5q5,NT,apartment,10,69,47,Female,UK,Inconsistent
R_eswZJrZ787BXa8R,NT,apartment,7,60,32,Female,UK,Consistent
R_etxasDIVktk4Val,NT,apartment,8,61,29,Female,UK,Consistent
R_eVSW1mW9LM57wTX,NT,apartment,8,64,41,Male,US,Consistent
R_exnKAuuZnHVsRgx,NT,apartment,6,73,26,Male,UK,Consistent
R_eyBYdMU4zArZg4B,NT,apartment,6,61,68,Female,UK,Consistent
R_ezJNmO1QLlXAOwJ,NT,apartment,7,41,47,Male,UK,Consistent
r33vvdpe8,ASC,apartment,15,96,42,Female,UK,Inconsistent
rdfq0pmo2,ASC,apartment,14,102,50,Male,UK,Consistent
t1ajvnwdq,ASC,apartment,14,93,30,Male,UK,Consistent
t2auq9axo,ASC,apartment,12,89,37,Male,US,Consistent
t65ipl7lr,ASC,apartment,2,100,52,Male,UK,Consistent
taabqbm9m,ASC,apartment,15,89,31,Female,UK,Consistent
ttkp0u72x,ASC,apartment,8,88,47,Female,UK,Consistent
v74cesr5t,ASC,apartment,12,84,41,Male,UK,Inconsistent
vxxmmwd6b,ASC,apartment,15,91,57,Male,UK,Consistent
w3lwkvhuk,ASC,apartment,16,91,61,Female,NA,Consistent
wncm1k6zu,ASC,apartment,15,78,20,Female,UK,Inconsistent
woarlew1q,ASC,apartment,13,97,32,Female,US,Consistent
wre569f9i,ASC,apartment,7,92,44,Female,UK,Consistent
wsrx6g3by,ASC,apartment,12,102,58,Male,US,Consistent
x04buscsp,ASC,apartment,12,105,48,Male,UK,Consistent
x4md3dikm,ASC,apartment,16,64,67,Female,UK,Consistent
xgpnq3j18,ASC,apartment,7,98,49,Male,UK,Consistent
y9vx07g58,ASC,apartment,11,89,38,Female,UK,Consistent
zez9yfy7y,ASC,apartment,6,62,58,Male,UK,Consistent
zvujsm7ib,ASC,apartment,9,86,46,Female,UK,Consistent
zwyn27soc,ASC,apartment,8,88,18,Female,UK,Consistent
